name,url
Double Dragon & Kunio-kun Retro Brawler Bundle,https://www.metacritic.com/game/switch/double-dragon-kunio-kun-retro-brawler-bundle
Granblue Fantasy: Versus,https://www.metacritic.com/game/playstation-4/granblue-fantasy-versus
Freedom Finger,https://www.metacritic.com/game/xbox-one/freedom-finger
SUPERHOT: MIND CONTROL DELETE,https://www.metacritic.com/game/pc/superhot-mind-control-delete
Mobile Suit Gundam: Extreme VS. MaxiBoost ON,https://www.metacritic.com/game/playstation-4/mobile-suit-gundam-extreme-vs-maxiboost-on
Murder by Numbers,https://www.metacritic.com/game/pc/murder-by-numbers
Othercide,https://www.metacritic.com/game/pc/othercide
In Other Waters,https://www.metacritic.com/game/switch/in-other-waters
Do Not Feed the Monkeys,https://www.metacritic.com/game/switch/do-not-feed-the-monkeys
The Room VR: A Dark Matter,https://www.metacritic.com/game/pc/the-room-vr-a-dark-matter
Burnout Paradise Remastered,https://www.metacritic.com/game/switch/burnout-paradise-remastered
The Procession to Calvary,https://www.metacritic.com/game/pc/the-procession-to-calvary
Not Tonight: Take Back Control Edition,https://www.metacritic.com/game/switch/not-tonight-take-back-control-edition
Control: The Foundation,https://www.metacritic.com/game/playstation-4/control-the-foundation
Good Job!,https://www.metacritic.com/game/switch/good-job!
Murder by Numbers,https://www.metacritic.com/game/switch/murder-by-numbers
Sega Ages: Shinobi,https://www.metacritic.com/game/switch/sega-ages-shinobi
KUNAI,https://www.metacritic.com/game/pc/kunai
Moving Out,https://www.metacritic.com/game/xbox-one/moving-out
Wildfire,https://www.metacritic.com/game/pc/wildfire
Trials of Mana,https://www.metacritic.com/game/pc/trials-of-mana
John Wick Hex,https://www.metacritic.com/game/playstation-4/john-wick-hex
Iratus: Lord of the Dead,https://www.metacritic.com/game/pc/iratus-lord-of-the-dead
Panzer Paladin,https://www.metacritic.com/game/switch/panzer-paladin
Atomicrops,https://www.metacritic.com/game/pc/atomicrops
Fury Unleashed,https://www.metacritic.com/game/playstation-4/fury-unleashed
Depixtion,https://www.metacritic.com/game/switch/depixtion
Shinsekai: Into the Depths,https://www.metacritic.com/game/switch/shinsekai-into-the-depths
Hardcore Mecha,https://www.metacritic.com/game/playstation-4/hardcore-mecha
Story of Seasons: Friends of Mineral Town,https://www.metacritic.com/game/switch/story-of-seasons-friends-of-mineral-town
Pillars of Eternity II: Deadfire,https://www.metacritic.com/game/playstation-4/pillars-of-eternity-ii-deadfire
Nioh 2: The Tengu's Disciple,https://www.metacritic.com/game/playstation-4/nioh-2-the-tengus-disciple
Othercide,https://www.metacritic.com/game/playstation-4/othercide
Carrion,https://www.metacritic.com/game/switch/carrion
Super Crush K.O.,https://www.metacritic.com/game/switch/super-crush-ko
Yakuza 3 Remastered,https://www.metacritic.com/game/playstation-4/yakuza-3-remastered
The Turing Test,https://www.metacritic.com/game/switch/the-turing-test
Fae Tactics,https://www.metacritic.com/game/pc/fae-tactics
Deliver Us The Moon,https://www.metacritic.com/game/playstation-4/deliver-us-the-moon
Ion Fury,https://www.metacritic.com/game/switch/ion-fury
Signs of the Sojourner,https://www.metacritic.com/game/pc/signs-of-the-sojourner
FORM,https://www.metacritic.com/game/playstation-4/form
Bloodroots,https://www.metacritic.com/game/pc/bloodroots
Panzer Paladin,https://www.metacritic.com/game/pc/panzer-paladin
DOOM 64,https://www.metacritic.com/game/switch/doom-64
