name,url
Fell Seal: Arbiter's Mark,https://www.metacritic.com/game/playstation-4/fell-seal-arbiters-mark
Sonic Mania,https://www.metacritic.com/game/playstation-4/sonic-mania
MLB The Show 19,https://www.metacritic.com/game/playstation-4/mlb-the-show-19
Resident Evil 7: biohazard,https://www.metacritic.com/game/playstation-4/resident-evil-7-biohazard
Beat Saber,https://www.metacritic.com/game/playstation-4/beat-saber
Final Fantasy XIV: Heavensward,https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-heavensward
Final Fantasy XIV Online: A Realm Reborn,https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-online-a-realm-reborn
Dragon Quest XI: Echoes of an Elusive Age,https://www.metacritic.com/game/playstation-4/dragon-quest-xi-echoes-of-an-elusive-age
Destiny: The Taken King,https://www.metacritic.com/game/playstation-4/destiny-the-taken-king
Guilty Gear Xrd: Rev 2,https://www.metacritic.com/game/playstation-4/guilty-gear-xrd-rev-2
OlliOlli2: Welcome to Olliwood,https://www.metacritic.com/game/playstation-4/olliolli2-welcome-to-olliwood
Resogun: Heroes,https://www.metacritic.com/game/playstation-4/resogun-heroes
DiRT Rally,https://www.metacritic.com/game/playstation-4/dirt-rally
Crypt of the NecroDancer,https://www.metacritic.com/game/playstation-4/crypt-of-the-necrodancer
The Outer Worlds,https://www.metacritic.com/game/playstation-4/the-outer-worlds
Battlefield 4,https://www.metacritic.com/game/playstation-4/battlefield-4
Pillars of Eternity: Complete Edition,https://www.metacritic.com/game/playstation-4/pillars-of-eternity-complete-edition
DOOM,https://www.metacritic.com/game/playstation-4/doom
NBA 2K14,https://www.metacritic.com/game/playstation-4/nba-2k14
Life is Strange,https://www.metacritic.com/game/playstation-4/life-is-strange
Nioh: Bloodshed's End,https://www.metacritic.com/game/playstation-4/nioh-bloodsheds-end
Rocket League,https://www.metacritic.com/game/playstation-4/rocket-league
Final Fantasy IX,https://www.metacritic.com/game/playstation-4/final-fantasy-ix
VA-11 Hall-A: Cyberpunk Bartender Action,https://www.metacritic.com/game/playstation-4/va-11-hall-a-cyberpunk-bartender-action
DJMax Respect,https://www.metacritic.com/game/playstation-4/djmax-respect
Pro Evolution Soccer 2017,https://www.metacritic.com/game/playstation-4/pro-evolution-soccer-2017
